t_s,q_rad,v_rad_s,torque_nm
1.915,1.04677839399276,-0.020054575408452055,-0.10308906332552012
1.92,1.04667569429845,-0.020539938861966978,-0.0994672013814416
1.925,1.0465706619736472,-0.021006464960581235,-0.09591894083238334
1.93,1.0464633892238107,-0.02145454996730228,-0.09244333457914813
1.935,1.0463539662997343,-0.021884584815247066,-0.08903943803225262
1.94,1.0462424815240934,-0.02229695512818546,-0.08570630937484919
1.945,1.0461290213178815,-0.022692041242367428,-0.08244300981672564
1.95,1.0460136702267335,-0.023070218229587505,-0.07924860383957158
1.955,1.0458965109471263,-0.02343185592144098,-0.07612215943367795
1.96,1.0457776243524526,-0.023777318934727208,-0.07306274832622975
1.965,1.0456570895189627,-0.024106966697956266,-0.07006944620139727
1.97,1.0455349837515682,-0.024421153478916317,-0.06714133291235508
1.975,1.045411382609502,-0.02472022841325972,-0.06427749268542512
1.98,1.0452863599318316,-0.025004535534066955,-0.06147701431649297
1.985,1.04515998786282,-0.02527441380234832,-0.058738991359874454
1.99,1.0450323368771277,-0.025530197138444167,-0.056062522309766216
1.995,1.0449034758048563,-0.025772214454285333,-0.05344671077447413
2.0,1.0447734718564239,-0.026000789686476275,-0.05089066564353803
2.005,1.044642390647273,-0.02621624183016425,-0.04839350124794212
2.0100000000000002,1.0445102962224047,-0.026418884973658716,-0.0459543375135292
2.015,1.0443772510807359,-0.026609028333765876,-0.04357230010780039
2.02,1.0442433161992768,-0.02678697629180423,-0.04124652058021061
2.025,1.0441085510571255,-0.02695302843026758,-0.03897613649615267
2.0300000000000002,1.043973013659275,-0.02710747957010294,-0.03676029156471902
2.035,1.0438367605602323,-0.02725061980857138,-0.03459813576042908
2.04,1.043699846887444,-0.02738273455766067,-0.03248882543903059
2.045,1.043562326364529,-0.027504104583019332,-0.03043152344752839
2.05,1.0434242513343122,-0.027615006043382444,-0.028425399228565573
2.055,1.04328567278166,-0.027715710530460198,-0.026469628919296995
2.06,1.0431466403561136,-0.02780648510926099,-0.024563395444872793
2.065,1.0430072023943195,-0.027887592358821465,-0.022705888606691454
2.07,1.042867405942253,-0.02795929041331669,-0.020896305165499063
2.075,1.0427272967772352,-0.02802183300352421,-0.019133848919515084
2.08,1.0425869194297421,-0.0280754694986165,-0.017417730777667284
2.085,1.042446317205001,-0.028120444948256912,-0.015747168828065372
2.09,1.042305532204376,-0.028157000124974855,-0.014121388401845597
2.095,1.0421646053465419,-0.02818537156679662,-0.012539622132500788
2.1,1.0420235763884413,-0.02820579162010893,-0.011001110010787268
2.105,1.0418824839460277,-0.028218488482732704,-0.009505099435346415
2.11,1.0417413655147918,-0.028223686247185336,-0.00805084525915245
2.115,1.0416002574900713,-0.02822160494411032,-0.0066376098318767784
2.12,1.0414591951871421,-0.028212460585853538,-0.005264663038293038
2.125,1.0413182128610914,-0.02819646521016622,-0.003931282332826691
2.13,1.0411773437264713,-0.028173826924015107,-0.0026367527703414773
2.1350000000000002,1.0410366199767338,-0.028144749947480792,-0.0013803670332819817
2.14,1.040896072803445,-0.02810943465772598,-0.00016142545526043328
2.145,1.04075573241528,-0.028068077633015692,0.0010207639588125095
2.15,1.0406156280567962,-0.028020871696772105,0.0021668855159572287
2.1550000000000002,1.040475788026988,-0.027968005961647162,0.0032776158216000773
2.16,1.04033623969762,-0.02790966587359669,0.004353623769233234
2.165,1.0401970095313402,-0.02784603325594013,0.005395570533142324
2.17,1.0400581230995734,-0.027777286353390506,0.006404109564122684
2.1750000000000003,1.039919605100193,-0.027703599876039806,0.0073798865880986
2.18,1.0397814793749767,-0.027625145043285254,0.00832353960753468
2.185,1.0396437689268383,-0.02754208962768265,0.009235698905596251
2.19,1.0395064959368447,-0.027454597998713148,0.010116987052939175
2.195,1.0393696817810125,-0.027362831166450382,0.01096801891705787
2.2,1.0392333470468869,-0.027266946825115417,0.011789401674120958
2.205,1.0390975115499044,-0.02716709939650714,0.01258173482319297
2.21,1.038962194349538,-0.027063440073296415,0.013345610202800479
2.215,1.0388274137652271,-0.026956116862172468,0.014081612009725408
2.22,1.038693187392093,-0.026845274626830583,0.014790316819977722
2.225,1.0385595321164391,-0.026731055130790448,0.015472293611870525
2.23,1.038426464131039,-0.02661359708003491,0.016128103791118703
2.235,1.0382939989502118,-0.026493036165459262,0.01675830121789601
2.24,1.0381621514246862,-0.026369505105121593,0.017363432235786513
2.245,1.0380309357562547,-0.02624313368628498,0.01794403570254474
